value,segments,language,borrowing_score,age_label
cuaca,"['tʃ', 'u', 'a', 'tʃ', 'a']",Indonesian,1.0,Early Malay
udara,"['u', 'd', 'a', 'r', 'a']",Indonesian,1.0,Early Malay
hawa,"['h', 'a', 'w', 'a']",Indonesian,1.0,Early Malay
pawaka,"['p', 'a', 'w', 'a', 'k', 'a']",Indonesian,1.0,Early Malay
api,"['a', 'p', 'i']",Indonesian,0.0,Prehistorical
lidah api,"['l', 'i', 'd', 'a', 'h', '+', 'a', 'p', 'i']",Indonesian,0.0,Early Malay
nyala (api),"['ɲ', 'a', 'l', 'a', '+', 'a', 'p', 'i']",Indonesian,0.0,Prehistorical
asap,"['a', 's', 'a', 'p']",Indonesian,0.0,Prehistorical
abu,"['a', 'b', 'u']",Indonesian,0.0,Prehistorical
bara,"['b', 'a', 'r', 'a']",Indonesian,0.0,Prehistorical
membakar,"['m', 'e', 'm', 'b', 'a', 'k', 'a', 'r']",Indonesian,0.0,Prehistorical
terbakar,"['t', 'e', 'r', 'b', 'a', 'k', 'a', 'r']",Indonesian,0.0,Prehistorical
menyalakan,"['m', 'e', 'ɲ', 'a', 'l', 'a', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
"menyulut, menyulutkan","['m', 'e', 'ɲ', 'u', 'l', 'u', 't']",Indonesian,0.75,Modern
memadamkan,"['m', 'e', 'm', 'a', 'd', 'a', 'm', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
korék api,"['k', 'o', 'r', 'é/e', 'k', '+', 'a', 'p', 'i']",Indonesian,0.0,Modern
kayu bakar,"['k', 'a', 'j', 'u', '+', 'b', 'a', 'k', 'a', 'r']",Indonesian,0.0,Prehistorical
arang,"['a', 'r', 'a', 'ŋ']",Indonesian,0.5,Early Malay
orang,"['o', 'r', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
manusia,"['m', 'a', 'n', 'u', 's', 'i', 'a']",Indonesian,0.75,Early Malay
insan,"['i', 'n', 's', 'a', 'n']",Indonesian,1.0,Early Malay
"laki-laki, lelaki","['l', 'a', 'k', 'i', '+', 'l', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
pria,"['p', 'r', 'i', 'a']",Indonesian,1.0,Early Malay
cowok,"['tʃ', 'o', 'w', 'o', 'ʔ']",Indonesian,0.0,Modern
perempuan,"['p', 'e', 'r', 'e', 'm', 'p', 'u', 'a', 'n']",Indonesian,0.0,Prehistorical
wanita,"['w', 'a', 'n', 'i', 't', 'a']",Indonesian,1.0,Early Malay
céwék,"['tʃ', 'é/e', 'w', 'é/e', 'ʔ']",Indonesian,0.5,Modern
"laki-laki, lelaki","['l', 'a', 'k', 'i', '+', 'l', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
pria,"['p', 'r', 'i', 'a']",Indonesian,1.0,Early Malay
perempuan,"['p', 'e', 'r', 'e', 'm', 'p', 'u', 'a', 'n']",Indonesian,0.0,Prehistorical
wanita,"['w', 'a', 'n', 'i', 't', 'a']",Indonesian,1.0,Early Malay
"putra, putera","['p', 'u', 't', 'r', 'a']",Indonesian,1.0,Early Malay
anak muda,"['a', 'n', 'a', 'k', '+', 'm', 'u', 'd', 'a']",Indonesian,0.0,Early Malay
teruna,"['t', 'e', 'r', 'u', 'n', 'a']",Indonesian,1.0,Early Malay
pemuda,"['p', 'e', 'm', 'u', 'd', 'a']",Indonesian,0.0,Prehistorical
gadis,"['g', 'a', 'd', 'i', 's']",Indonesian,0.75,Modern
"putri, puteri","['p', 'u', 't', 'r', 'i']",Indonesian,1.0,Early Malay
dara,"['d', 'a', 'r', 'a']",Indonesian,0.25,Early Malay
gadis,"['g', 'a', 'd', 'i', 's']",Indonesian,0.75,Modern
anak,"['a', 'n', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
bocah,"['b', 'o', 'tʃ', 'a', 'h']",Indonesian,1.0,Modern
bayi,"['b', 'a', 'j', 'i']",Indonesian,1.0,Modern
suami,"['s', 'u', 'a', 'm', 'i']",Indonesian,1.0,Early Malay
laki,"['l', 'a', 'k', 'i']",Indonesian,0.0,Prehistorical
istri,"['i', 's', 't', 'r', 'i']",Indonesian,1.0,Early Malay
bini,"['b', 'i', 'n', 'i']",Indonesian,0.0,Prehistorical
mengawini,"['m', 'e', 'ŋ', 'a', 'w', 'i', 'n', 'i']",Indonesian,0.0,Early Malay
menikahi,"['m', 'e', 'n', 'i', 'k', 'a', 'h', 'i']",Indonesian,0.0,Early Malay
pernikahan,"['p', 'e', 'r', 'n', 'i', 'k', 'a', 'h', 'a', 'n']",Indonesian,0.0,Early Malay
perkawinan,"['p', 'e', 'r', 'k', 'a', 'w', 'i', 'n', 'a', 'n']",Indonesian,0.0,Early Malay
perceraian,"['p', 'e', 'r', 'tʃ', 'e', 'r', 'a', 'i', 'a', 'n']",Indonesian,0.0,Early Malay
talak,"['t', 'a', 'l', 'a', 'ʔ']",Indonesian,1.0,Early Malay
"bapa, bapak","['b', 'a', 'p', 'a']",Indonesian,0.75,Early Malay
ayah,"['a', 'j', 'a', 'h']",Indonesian,0.5,Early Malay
"papa, papi","['p', 'a', 'p', 'a']",Indonesian,1.0,Modern
ibu,"['i', 'b', 'u']",Indonesian,0.75,Early Malay
"mak, emak","['m', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
"bunda, ibunda","['b', 'u', 'n', 'd', 'a']",Indonesian,0.0,Early Malay
"induk, indung","['i', 'n', 'd', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
"mama, mami","['m', 'a', 'm', 'a']",Indonesian,1.0,Modern
