value,segments,language,borrowing_score,age_label
minyak,"['m', 'i', 'ɲ', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
lemak,"['l', 'e', 'm', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
garam,"['g', 'a', 'r', 'a', 'm']",Indonesian,0.0,Prehistorical
lada,"['l', 'a', 'd', 'a']",Indonesian,0.0,Prehistorical
merica,"['m', 'e', 'r', 'i', 'tʃ', 'a']",Indonesian,1.0,Modern
"cabé, cabai","['tʃ', 'a', 'b', 'é/e']",Indonesian,1.0,Modern
lombok,"['l', 'o', 'm', 'b', 'o', 'ʔ']",Indonesian,1.0,Modern
madu,"['m', 'a', 'd', 'u']",Indonesian,1.0,Early Malay
gula,"['g', 'u', 'l', 'a']",Indonesian,1.0,Early Malay
susu (2),"['s', 'u', 's', 'u']",Indonesian,0.0,Prehistorical
memerah,"['m', 'e', 'm', 'e', 'r', 'a', 'h']",Indonesian,0.0,Prehistorical
kéju,"['k', 'é/e', 'dʒ', 'u']",Indonesian,1.0,Early Malay
mentéga,"['m', 'e', 'n', 't', 'é/e', 'g', 'a']",Indonesian,1.0,Modern
minuman,"['m', 'i', 'n', 'u', 'm', 'a', 'n']",Indonesian,0.0,Prehistorical
anggur,"['a', 'ŋ', 'g', 'u', 'r']",Indonesian,1.0,Early Malay
wine,"['w', 'i', 'n', 'e']",Indonesian,1.0,Modern
bir,"['b', 'i', 'r']",Indonesian,1.0,Modern
tuak,"['t', 'u', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
"telur, telor","['t', 'e', 'l', 'u', 'r']",Indonesian,0.0,Prehistorical
kuning telur,"['k', 'u', 'n', 'i', 'ŋ', '+', 't', 'e', 'l', 'u', 'r']",Indonesian,0.0,Early Malay
memakai,"['m', 'e', 'm', 'a', 'k', 'aɪ']",Indonesian,0.0,Prehistorical
mengenakan,"['m', 'e', 'ŋ', 'e', 'n', 'a', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
pakaian,"['p', 'a', 'k', 'a', 'i', 'a', 'n']",Indonesian,0.0,Prehistorical
baju,"['b', 'a', 'dʒ', 'u']",Indonesian,0.25,Early Malay
busana,"['b', 'u', 's', 'a', 'n', 'a']",Indonesian,1.0,Early Malay
tukang jahit,"['t', 'u', 'k', 'a', 'ŋ', '+', 'dʒ', 'a', 'h', 'i', 't']",Indonesian,0.0,Prehistorical
kain,"['k', 'a', 'i', 'n']",Indonesian,0.0,Prehistorical
wol,"['w', 'o', 'l']",Indonesian,1.0,Modern
linen,"['l', 'i', 'n', 'e', 'n']",Indonesian,1.0,Modern
katun,"['k', 'a', 't', 'u', 'n']",Indonesian,1.0,Modern
kapas,"['k', 'a', 'p', 'a', 's']",Indonesian,0.75,No information
sutera,"['s', 'u', 't', 'e', 'r', 'a']",Indonesian,1.0,Early Malay
bulu,"['b', 'u', 'l', 'u']",Indonesian,0.0,Prehistorical
kulit (binatang),"['k', 'u', 'l', 'i', 't', '+', 'b', 'i', 'n', 'a', 't', 'a', 'ŋ']",Indonesian,0.0,Early Malay
memintal,"['m', 'e', 'm', 'i', 'n', 't', 'a', 'l']",Indonesian,0.0,Prehistorical
kumparan,"['k', 'u', 'm', 'p', 'a', 'r', 'a', 'n']",Indonesian,0.0,Prehistorical
menenun,"['m', 'e', 'n', 'e', 'n', 'u', 'n']",Indonesian,0.0,Prehistorical
alat tenun,"['a', 'l', 'a', 't', '+', 't', 'e', 'n', 'u', 'n']",Indonesian,0.0,Early Malay
menjahit,"['m', 'e', 'ɲ', 'a', 'h', 'i', 't']",Indonesian,0.0,Prehistorical
jarum,"['dʒ', 'a', 'r', 'u', 'm']",Indonesian,0.0,Prehistorical
pusut,"['p', 'u', 's', 'u', 't']",Indonesian,0.75,Modern
benang,"['b', 'e', 'n', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
mencelup,"['m', 'e', 'ɲ', 'e', 'l', 'u', 'p']",Indonesian,0.0,Early Malay
jubah,"['dʒ', 'u', 'b', 'a', 'h']",Indonesian,1.0,Early Malay
tangga,"['t', 'a', 'ŋ', 'g', 'a']",Indonesian,0.0,Prehistorical
daster,"['d', 'a', 's', 't', 'e', 'r']",Indonesian,1.0,Modern
terusan,"['t', 'e', 'r', 'u', 's', 'a', 'n']",Indonesian,0.0,Modern
gaun,"['g', 'a', 'u', 'n']",Indonesian,1.0,Modern
tunik,"['t', 'u', 'n', 'i', 'ʔ']",Indonesian,1.0,Modern
mantel,"['m', 'a', 'n', 't', 'e', 'l']",Indonesian,1.0,Modern
baju,"['b', 'a', 'dʒ', 'u']",Indonesian,0.25,Early Malay
keméja,"['k', 'e', 'm', 'é/e', 'dʒ', 'a']",Indonesian,1.0,Modern
blus,"['b', 'l', 'u', 's']",Indonesian,1.0,Modern
kaos,"['k', 'a', 'o', 's']",Indonesian,1.0,Modern
kerah,"['k', 'e', 'r', 'a', 'h']",Indonesian,1.0,Modern
rok,"['r', 'o', 'ʔ']",Indonesian,1.0,Modern
celana,"['tʃ', 'e', 'l', 'a', 'n', 'a']",Indonesian,1.0,Modern
seluar,"['s', 'e', 'l', 'u', 'a', 'r']",Indonesian,1.0,Early Malay
kaos (kaki),"['k', 'a', 'o', 's', '+', 'k', 'a', 'k', 'i']",Indonesian,1.0,Modern
sepatu,"['s', 'e', 'p', 'a', 't', 'u']",Indonesian,1.0,Modern
(sepatu) bot,"['s', 'e', 'p', 'a', 't', 'u', '+', 'b', 'o', 't']",Indonesian,1.0,Modern
tukang sepatu,"['t', 'u', 'k', 'a', 'ŋ', '+', 's', 'e', 'p', 'a', 't', 'u']",Indonesian,0.0,Early Malay
topi,"['t', 'o', 'p', 'i']",Indonesian,1.0,Early Malay
péci,"['p', 'é/e', 'tʃ', 'i']",Indonesian,1.0,Modern
ikat pinggang,"['i', 'k', 'a', 't', '+', 'p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
tali pinggang,"['t', 'a', 'l', 'i', '+', 'p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0,Early Malay
sabuk,"['s', 'a', 'b', 'u', 'ʔ']",Indonesian,1.0,Modern
géspér,"['g', 'é/e', 's', 'p', 'é/e', 'r']",Indonesian,1.0,Modern
sarung tangan,"['s', 'a', 'r', 'u', 'ŋ', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0,Modern
kerudung,"['k', 'e', 'r', 'u', 'd', 'u', 'ŋ']",Indonesian,1.0,Modern
tudung,"['t', 'u', 'd', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
cadar,"['tʃ', 'a', 'd', 'a', 'r']",Indonesian,1.0,Early Malay
"kantung, kantong","['k', 'a', 'n', 't', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
saku,"['s', 'a', 'k', 'u']",Indonesian,1.0,Modern
kancing,"['k', 'a', 'ɲ', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
jarum,"['dʒ', 'a', 'r', 'u', 'm']",Indonesian,0.0,Prehistorical
peniti,"['p', 'e', 'n', 'i', 't', 'i']",Indonesian,0.75,Modern
perhiasan,"['p', 'e', 'r', 'h', 'i', 'a', 's', 'a', 'n']",Indonesian,0.0,Prehistorical
permata,"['p', 'e', 'r', 'm', 'a', 't', 'a']",Indonesian,0.25,Early Malay
cincin,"['tʃ', 'i', 'ɲ', 'i', 'n']",Indonesian,0.0,Prehistorical
gelang,"['g', 'e', 'l', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
kalung,"['k', 'a', 'l', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
manik-manik,"['m', 'a', 'n', 'i', 'k', '+', 'm', 'a', 'n', 'i', 'ʔ']",Indonesian,0.75,Early Malay
anting-anting,"['a', 'n', 't', 'i', 'ŋ', '+', 'a', 'n', 't', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
giwang,"['g', 'i', 'w', 'a', 'ŋ']",Indonesian,1.0,Modern
ikat kepala,"['i', 'k', 'a', 't', '+', 'k', 'e', 'p', 'a', 'l', 'a']",Indonesian,0.0,Prehistorical
"serban, sorban","['s', 'e', 'r', 'b', 'a', 'n']",Indonesian,1.0,Early Malay
blangkon,"['b', 'l', 'a', 'ŋ', 'k', 'o', 'n']",Indonesian,1.0,Modern
destar,"['d', 'e', 's', 't', 'a', 'r']",Indonesian,1.0,Early Malay
jilbab,"['dʒ', 'i', 'l', 'b', 'a', 'b']",Indonesian,1.0,Modern
tato,"['t', 'a', 't', 'o']",Indonesian,1.0,Modern
sapu tangan,"['s', 'a', 'p', 'u', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0,Early Malay
(kain) lap,"['k', 'a', 'i', 'n', '+', 'l', 'a', 'p']",Indonesian,1.0,Modern
handuk,"['h', 'a', 'n', 'd', 'u', 'ʔ']",Indonesian,1.0,Modern
tuala,"['t', 'u', 'a', 'l', 'a']",Indonesian,1.0,Modern
sisir,"['s', 'i', 's', 'i', 'r']",Indonesian,0.0,Prehistorical
sikat,"['s', 'i', 'k', 'a', 't']",Indonesian,0.0,Prehistorical
képang,"['k', 'é/e', 'p', 'a', 'ŋ']",Indonesian,1.0,Modern
pisau cukur,"['p', 'i', 's', 'a', 'u', '+', 'tʃ', 'u', 'k', 'u', 'r']",Indonesian,0.0,Early Malay
silét,"['s', 'i', 'l', 'é/e', 't']",Indonesian,1.0,Modern
salep,"['s', 'a', 'l', 'e', 'p']",Indonesian,1.0,Modern
sabun,"['s', 'a', 'b', 'u', 'n']",Indonesian,1.0,Early Malay
cermin,"['tʃ', 'e', 'r', 'm', 'i', 'n']",Indonesian,0.25,Early Malay
kaca,"['k', 'a', 'tʃ', 'a']",Indonesian,1.0,Early Malay
tinggal,"['t', 'i', 'ŋ', 'g', 'a', 'l']",Indonesian,0.0,Prehistorical
berdiam,"['b', 'e', 'r', 'd', 'i', 'a', 'm']",Indonesian,0.0,Prehistorical
rumah,"['r', 'u', 'm', 'a', 'h']",Indonesian,0.0,Prehistorical
pondok,"['p', 'o', 'n', 'd', 'o', 'ʔ']",Indonesian,0.75,Early Malay
gubuk,"['g', 'u', 'b', 'u', 'ʔ']",Indonesian,1.0,Modern
ténda,"['t', 'é/e', 'n', 'd', 'a']",Indonesian,1.0,Modern
kémah,"['k', 'é/e', 'm', 'a', 'h']",Indonesian,1.0,Early Malay
halaman,"['h', 'a', 'l', 'a', 'm', 'a', 'n']",Indonesian,0.0,Prehistorical
dapur,"['d', 'a', 'p', 'u', 'r']",Indonesian,0.0,Prehistorical
balai,"['b', 'a', 'l', 'aɪ']",Indonesian,0.0,Prehistorical
kamar,"['k', 'a', 'm', 'a', 'r']",Indonesian,1.0,Modern
bilik,"['b', 'i', 'l', 'i', 'ʔ']",Indonesian,0.0,Prehistorical
"ruang, ruangan","['r', 'u', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
pintu,"['p', 'i', 'n', 't', 'u']",Indonesian,0.0,Prehistorical
(pintu) gerbang,"['p', 'i', 'n', 't', 'u', '+', 'g', 'e', 'r', 'b', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
gapura,"['g', 'a', 'p', 'u', 'r', 'a']",Indonesian,1.0,Modern
tiang pintu,"['t', 'i', 'a', 'ŋ', '+', 'p', 'i', 'n', 't', 'u']",Indonesian,0.0,Prehistorical
kunci,"['k', 'u', 'ɲ', 'i']",Indonesian,1.0,Early Malay
selot,"['s', 'e', 'l', 'o', 't']",Indonesian,1.0,Modern
palang pintu,"['p', 'a', 'l', 'a', 'ŋ', '+', 'p', 'i', 'n', 't', 'u']",Indonesian,0.0,Early Malay
gréndél,"['g', 'r', 'é/e', 'n', 'd', 'é/e', 'l']",Indonesian,1.0,Modern
selot,"['s', 'e', 'l', 'o', 't']",Indonesian,1.0,Modern
(anak) kunci,"['a', 'n', 'a', 'k', '+', 'k', 'u', 'ɲ', 'i']",Indonesian,0.0,Early Malay
jendéla,"['dʒ', 'e', 'n', 'd', 'é/e', 'l', 'a']",Indonesian,1.0,Modern
lantai,"['l', 'a', 'n', 't', 'aɪ']",Indonesian,0.0,Prehistorical
dinding,"['d', 'i', 'n', 'd', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
témbok,"['t', 'é/e', 'm', 'b', 'o', 'ʔ']",Indonesian,0.75,Early Malay
perapian,"['p', 'e', 'r', 'a', 'p', 'i', 'a', 'n']",Indonesian,0.0,Prehistorical
kompor,"['k', 'o', 'm', 'p', 'o', 'r']",Indonesian,1.0,Modern
cerobong (asap),"['tʃ', 'e', 'r', 'o', 'b', 'o', 'ŋ', '+', 'a', 's', 'a', 'p']",Indonesian,1.0,Modern
tempat tidur,"['t', 'e', 'm', 'p', 'a', 't', '+', 't', 'i', 'd', 'u', 'r']",Indonesian,0.0,Early Malay
ranjang,"['r', 'a', 'ɲ', 'a', 'ŋ']",Indonesian,0.25,Early Malay
bantal,"['b', 'a', 'n', 't', 'a', 'l']",Indonesian,0.0,Prehistorical
selimut,"['s', 'e', 'l', 'i', 'm', 'u', 't']",Indonesian,0.0,Prehistorical
kursi,"['k', 'u', 'r', 's', 'i']",Indonesian,1.0,Early Malay
méja,"['m', 'é/e', 'dʒ', 'a']",Indonesian,1.0,Early Malay
lampu,"['l', 'a', 'm', 'p', 'u']",Indonesian,1.0,Modern
obor,"['o', 'b', 'o', 'r']",Indonesian,1.0,Modern
suluh,"['s', 'u', 'l', 'u', 'h']",Indonesian,0.0,Prehistorical
dian,"['d', 'i', 'a', 'n']",Indonesian,1.0,Early Malay
lilin,"['l', 'i', 'l', 'i', 'n']",Indonesian,0.0,Prehistorical
rak,"['r', 'a', 'ʔ']",Indonesian,1.0,Modern
palung,"['p', 'a', 'l', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
atap,"['a', 't', 'a', 'p']",Indonesian,0.0,Prehistorical
ijuk,"['i', 'dʒ', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
bubungan,"['b', 'u', 'b', 'u', 'ŋ', 'a', 'n']",Indonesian,0.0,Prehistorical
kasau,"['k', 'a', 's', 'aʊ']",Indonesian,0.0,Prehistorical
balok,"['b', 'a', 'l', 'o', 'ʔ']",Indonesian,1.0,Modern
tiang,"['t', 'i', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
papan,"['p', 'a', 'p', 'a', 'n']",Indonesian,0.0,Prehistorical
lengkung,"['l', 'e', 'ŋ', 'k', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
tukang batu,"['t', 'u', 'k', 'a', 'ŋ', '+', 'b', 'a', 't', 'u']",Indonesian,0.0,Prehistorical
batu bata,"['b', 'a', 't', 'u', '+', 'b', 'a', 't', 'a']",Indonesian,0.0,Early Malay
semén,"['s', 'e', 'm', 'é/e', 'n']",Indonesian,1.0,Modern
lépa,"['l', 'é/e', 'p', 'a']",Indonesian,1.0,Early Malay
petani,"['p', 'e', 't', 'a', 'n', 'i']",Indonesian,0.0,Prehistorical
ladang,"['l', 'a', 'd', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
"kebun, kebon","['k', 'e', 'b', 'u', 'n']",Indonesian,0.0,Prehistorical
taman,"['t', 'a', 'm', 'a', 'n']",Indonesian,0.5,Early Malay
menggarap,"['m', 'e', 'ŋ', 'g', 'a', 'r', 'a', 'p']",Indonesian,1.0,Modern
pagar,"['p', 'a', 'g', 'a', 'r']",Indonesian,0.0,Prehistorical
parit,"['p', 'a', 'r', 'i', 't']",Indonesian,0.0,Prehistorical
got,"['g', 'o', 't']",Indonesian,1.0,Modern
bandar,"['b', 'a', 'n', 'd', 'a', 'r']",Indonesian,1.0,Early Malay
membajak,"['m', 'e', 'm', 'b', 'a', 'dʒ', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
menenggala,"['m', 'e', 'n', 'e', 'ŋ', 'g', 'a', 'l', 'a']",Indonesian,1.0,Early Malay
alur,"['a', 'l', 'u', 'r']",Indonesian,0.0,Prehistorical
menggali,"['m', 'e', 'ŋ', 'g', 'a', 'l', 'i']",Indonesian,0.0,Prehistorical
pacul,"['p', 'a', 'tʃ', 'u', 'l']",Indonesian,1.0,Modern
sekop,"['s', 'e', 'k', 'o', 'p']",Indonesian,1.0,Modern
cangkul,"['tʃ', 'a', 'ŋ', 'k', 'u', 'l']",Indonesian,0.0,Prehistorical
garpu,"['g', 'a', 'r', 'p', 'u']",Indonesian,1.0,Modern
penggaruk,"['p', 'e', 'ŋ', 'g', 'a', 'r', 'u', 'ʔ']",Indonesian,0.0,Early Malay
menabur,"['m', 'e', 'n', 'a', 'b', 'u', 'r']",Indonesian,0.0,Prehistorical
benih,"['b', 'e', 'n', 'i', 'h']",Indonesian,0.0,Prehistorical
biji,"['b', 'i', 'dʒ', 'i']",Indonesian,1.0,Early Malay
membabat,"['m', 'e', 'm', 'b', 'a', 'b', 'a', 't']",Indonesian,1.0,Modern
menebas,"['m', 'e', 'n', 'e', 'b', 'a', 's']",Indonesian,0.0,Prehistorical
arit,"['a', 'r', 'i', 't']",Indonesian,1.0,Modern
sabit,"['s', 'a', 'b', 'i', 't']",Indonesian,0.0,Prehistorical
"celurit, clurit","['tʃ', 'e', 'l', 'u', 'r', 'i', 't']",Indonesian,1.0,Modern
menebahkan,"['m', 'e', 'n', 'e', 'b', 'a', 'h', 'k', 'a', 'n']",Indonesian,0.0,Early Malay
menumbuk,"['m', 'e', 'n', 'u', 'm', 'b', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
panén,"['p', 'a', 'n', 'é/e', 'n']",Indonesian,1.0,Modern
butir,"['b', 'u', 't', 'i', 'r']",Indonesian,0.0,Prehistorical
biji,"['b', 'i', 'dʒ', 'i']",Indonesian,1.0,Early Malay
terigu,"['t', 'e', 'r', 'i', 'g', 'u']",Indonesian,1.0,Modern
gandum,"['g', 'a', 'n', 'd', 'u', 'm']",Indonesian,1.0,Early Malay
havermut,"['h', 'a', 'v', 'e', 'r', 'm', 'u', 't']",Indonesian,1.0,Modern
jagung,"['dʒ', 'a', 'g', 'u', 'ŋ']",Indonesian,1.0,Early Malay
nasi,"['n', 'a', 's', 'i']",Indonesian,0.0,Prehistorical
beras,"['b', 'e', 'r', 'a', 's']",Indonesian,0.0,Prehistorical
padi,"['p', 'a', 'd', 'i']",Indonesian,0.0,Prehistorical
rumput,"['r', 'u', 'm', 'p', 'u', 't']",Indonesian,0.0,Prehistorical
jerami,"['dʒ', 'e', 'r', 'a', 'm', 'i']",Indonesian,0.0,Prehistorical
tanaman,"['t', 'a', 'n', 'a', 'm', 'a', 'n']",Indonesian,0.0,Prehistorical
tumbuhan,"['t', 'u', 'm', 'b', 'u', 'h', 'a', 'n']",Indonesian,0.0,Prehistorical
pohon,"['p', 'o', 'h', 'o', 'n']",Indonesian,0.0,Prehistorical
menanam,"['m', 'e', 'n', 'a', 'n', 'a', 'm']",Indonesian,0.0,Prehistorical
akar,"['a', 'k', 'a', 'r']",Indonesian,0.0,Prehistorical
cabang,"['tʃ', 'a', 'b', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
dahan,"['d', 'a', 'h', 'a', 'n']",Indonesian,0.0,Prehistorical
ranting,"['r', 'a', 'n', 't', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
daun,"['d', 'a', 'u', 'n']",Indonesian,0.0,Prehistorical
bunga,"['b', 'u', 'ŋ', 'a']",Indonesian,0.0,Prehistorical
kembang,"['k', 'e', 'm', 'b', 'a', 'ŋ']",Indonesian,1.0,Modern
pohon,"['p', 'o', 'h', 'o', 'n']",Indonesian,0.0,Prehistorical
pinus,"['p', 'i', 'n', 'u', 's']",Indonesian,1.0,Modern
cemara,"['tʃ', 'e', 'm', 'a', 'r', 'a']",Indonesian,1.0,Early Malay
tanaman merambat,"['t', 'a', 'n', 'a', 'm', 'a', 'n', '+', 'm', 'e', 'r', 'a', 'm', 'b', 'a', 't']",Indonesian,0.0,Modern
tembakau,"['t', 'e', 'm', 'b', 'a', 'k', 'aʊ']",Indonesian,1.0,Early Malay
merokok,"['m', 'e', 'r', 'o', 'k', 'o', 'ʔ']",Indonesian,1.0,Modern
pipa,"['p', 'i', 'p', 'a']",Indonesian,1.0,Modern
cangklong,"['tʃ', 'a', 'ŋ', 'k', 'l', 'o', 'ŋ']",Indonesian,1.0,Modern
tunggul,"['t', 'u', 'ŋ', 'g', 'u', 'l']",Indonesian,0.0,Prehistorical
pokok (kayu),"['p', 'o', 'k', 'o', 'k', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0,Prehistorical
batang,"['b', 'a', 't', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
cabang,"['tʃ', 'a', 'b', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
kulit kayu,"['k', 'u', 'l', 'i', 't', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0,Prehistorical
getah,"['g', 'e', 't', 'a', 'h']",Indonesian,0.0,Prehistorical
palem,"['p', 'a', 'l', 'e', 'm']",Indonesian,1.0,Modern
kelapa,"['k', 'e', 'l', 'a', 'p', 'a']",Indonesian,0.75,Early Malay
nyiur,"['ɲ', 'i', 'u', 'r']",Indonesian,0.0,Prehistorical
jeruk,"['dʒ', 'e', 'r', 'u', 'ʔ']",Indonesian,0.75,Modern
pisang,"['p', 'i', 's', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
beringin,"['b', 'e', 'r', 'i', 'ŋ', 'i', 'n']",Indonesian,0.0,Prehistorical
ubi jalar,"['u', 'b', 'i', '+', 'dʒ', 'a', 'l', 'a', 'r']",Indonesian,0.0,Modern
ubi madu,"['u', 'b', 'i', '+', 'm', 'a', 'd', 'u']",Indonesian,0.0,Modern
singkong,"['s', 'i', 'ŋ', 'k', 'o', 'ŋ']",Indonesian,1.0,Modern
ubi kayu,"['u', 'b', 'i', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0,Prehistorical
labu,"['l', 'a', 'b', 'u']",Indonesian,0.75,Early Malay
labu,"['l', 'a', 'b', 'u']",Indonesian,0.75,Early Malay
bambu,"['b', 'a', 'm', 'b', 'u']",Indonesian,0.5,Modern
tebu,"['t', 'e', 'b', 'u']",Indonesian,0.0,Prehistorical
tuba,"['t', 'u', 'b', 'a']",Indonesian,0.0,Prehistorical
jelatang,"['dʒ', 'e', 'l', 'a', 't', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
jamur,"['dʒ', 'a', 'm', 'u', 'r']",Indonesian,1.0,Modern
melakukan,"['m', 'e', 'l', 'a', 'k', 'u', 'k', 'a', 'n']",Indonesian,0.0,Early Malay
kerja,"['k', 'e', 'r', 'dʒ', 'a']",Indonesian,1.0,Early Malay
pekerjaan,"['p', 'e', 'k', 'e', 'r', 'dʒ', 'aː', 'n']",Indonesian,0.0,Early Malay
menekukkan,"['m', 'e', 'n', 'e', 'k', 'u', 'k', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
membéngkokkan,"['m', 'e', 'm', 'b', 'é/e', 'ŋ', 'k', 'o', 'k', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
melipat,"['m', 'e', 'l', 'i', 'p', 'a', 't']",Indonesian,0.0,Prehistorical
mengikat,"['m', 'e', 'ŋ', 'i', 'k', 'a', 't']",Indonesian,0.0,Prehistorical
menguraikan,"['m', 'e', 'ŋ', 'u', 'r', 'a', 'i', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
rantai,"['r', 'a', 'n', 't', 'aɪ']",Indonesian,0.0,Prehistorical
tali,"['t', 'a', 'l', 'i']",Indonesian,0.0,Prehistorical
ikatan,"['i', 'k', 'a', 't', 'a', 'n']",Indonesian,0.0,Prehistorical
simpul,"['s', 'i', 'm', 'p', 'u', 'l']",Indonesian,0.0,Prehistorical
memukul,"['m', 'e', 'm', 'u', 'k', 'u', 'l']",Indonesian,0.0,Prehistorical
menggebrak,"['m', 'e', 'ŋ', 'g', 'e', 'b', 'r', 'a', 'ʔ']",Indonesian,1.0,Modern
menghantam,"['m', 'e', 'ŋ', 'h', 'a', 'n', 't', 'a', 'm']",Indonesian,0.0,Prehistorical
memotong,"['m', 'e', 'm', 'o', 't', 'o', 'ŋ']",Indonesian,0.0,Prehistorical
menebang,"['m', 'e', 'n', 'e', 'b', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
membelah,"['m', 'e', 'm', 'b', 'e', 'l', 'a', 'h']",Indonesian,0.0,Prehistorical
mencincang,"['m', 'e', 'ɲ', 'i', 'ɲ', 'a', 'ŋ']",Indonesian,0.0,Modern
menusuk,"['m', 'e', 'n', 'u', 's', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
menikam,"['m', 'e', 'n', 'i', 'k', 'a', 'm']",Indonesian,0.0,Prehistorical
pisau,"['p', 'i', 's', 'aʊ']",Indonesian,0.0,Prehistorical
gunting,"['g', 'u', 'n', 't', 'i', 'ŋ']",Indonesian,0.0,Early Malay
kapak,"['k', 'a', 'p', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
beliung,"['b', 'e', 'l', 'i', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
memecahkan,"['m', 'e', 'm', 'e', 'tʃ', 'a', 'h', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
rusak,"['r', 'u', 's', 'a', 'ʔ']",Indonesian,0.5,Prehistorical
membelah,"['m', 'e', 'm', 'b', 'e', 'l', 'a', 'h']",Indonesian,0.0,Prehistorical
menyobék,"['m', 'e', 'ɲ', 'o', 'b', 'é/e', 'ʔ']",Indonesian,0.0,Prehistorical
merobék,"['m', 'e', 'r', 'o', 'b', 'é/e', 'ʔ']",Indonesian,0.0,Prehistorical
patung,"['p', 'a', 't', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
menguliti,"['m', 'e', 'ŋ', 'u', 'l', 'i', 't', 'i']",Indonesian,0.0,Prehistorical
menggosok,"['m', 'e', 'ŋ', 'g', 'o', 's', 'o', 'ʔ']",Indonesian,0.0,Prehistorical
menggésék,"['m', 'e', 'ŋ', 'g', 'é/e', 's', 'é/e', 'ʔ']",Indonesian,0.0,Prehistorical
merentangkan,"['m', 'e', 'r', 'e', 'n', 't', 'a', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
merenggangkan,"['m', 'e', 'r', 'e', 'ŋ', 'g', 'a', 'ŋ', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
menarik,"['m', 'e', 'n', 'a', 'r', 'i', 'ʔ']",Indonesian,0.0,Prehistorical
menggelar,"['m', 'e', 'ŋ', 'g', 'e', 'l', 'a', 'r']",Indonesian,0.0,Prehistorical
menggantung,"['m', 'e', 'ŋ', 'g', 'a', 'n', 't', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
menekan,"['m', 'e', 'n', 'e', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
memencét,"['m', 'e', 'm', 'e', 'ɲ', 'é/e', 't']",Indonesian,1.0,Modern
memeras,"['m', 'e', 'm', 'e', 'r', 'a', 's']",Indonesian,0.0,Prehistorical
memerah,"['m', 'e', 'm', 'e', 'r', 'a', 'h']",Indonesian,0.0,Prehistorical
menuang,"['m', 'e', 'n', 'u', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
mencuci,"['m', 'e', 'ɲ', 'u', 'tʃ', 'i']",Indonesian,0.75,Early Malay
membasuh,"['m', 'e', 'm', 'b', 'a', 's', 'u', 'h']",Indonesian,0.0,Prehistorical
menyapu,"['m', 'e', 'ɲ', 'a', 'p', 'u']",Indonesian,0.0,Prehistorical
sapu,"['s', 'a', 'p', 'u']",Indonesian,0.0,Prehistorical
alat,"['a', 'l', 'a', 't']",Indonesian,1.0,Early Malay
tukang kayu,"['t', 'u', 'k', 'a', 'ŋ', '+', 'k', 'a', 'j', 'u']",Indonesian,0.0,Prehistorical
